Name,University,title_1,title_2,title_3
  Jon Crowcroft,Cambridge,_Resource Poolingî for Wireless Networks: Solutions for the Developing World,Do Bots impact Twitter activity?,
 Leonardo Bottolo,Cambridge,Systems genetics identifies a convergent gene network for cognition and neurodevelopmental disease,Systems genetics identifies a convergent gene network for cognition and neurodevelopmental disease,
 Quentin Berthet,Cambridge,Fast Rates for Bandit Optimization with Upper-Confidence Frank-Wolfe,Exact recovery in the Ising blockmodel,
  Cecilia Mascolo,Cambridge,LEO: Scheduling Sensor Inference Algorithms across Heterogeneous Mobile Processors and Network Resources.,A Multilayer Approach to Multiplexity and Link Prediction in Online Geo-Social Networks.,
  Carl Rasmussen,Cambridge,Gaussian Processes for Data-Efficient Learning in Robotics and Control,Understanding Probabilistic Sparse Gaussian Process Approximations,
  Richard Samworth,Cambridge,Statistical and computational trade-offs in estimation of sparse principal components,Generalised additive and index models with shape constraints,
 Rajen Dinesh Shah,Cambridge,The xyz algorithm for fast interaction search in high-dimensional data,Modelling interactions in high-dimensional data with Backtracking,
 Sumeetpal Singh,Cambridge,Approximate Smoothing and Parameter Estimation in High-Dimensional State-Space Models,Particle ancestor sampling for near-degenerate or intractable state transition models,
 Richard Gibbens,Cambridge,Connectivity of Large-Scale Wireless networks with Directional Antennas ,Capacity bounds and robustness in multipath networks ,
  Peter Markowich,Cambridge,Bohmian measures and their classical limit,Numerical Analysis of Schr_dinger Equations in the Highly Oscillatory Regime,
 Adrian Weller,Cambridge,Uprooting and rerooting higher-order graphical models,Lost relatives of the Gumbel trick,concrete problems for autonomous vehicle safety advantages of bayesian deep learning
  Carola-Bibiane Schonlieb,Cambridge,Discrete gradient methods for solving variational image regularisation models,Infimal convolution of data discrepancies for mixed noise removal,oriented diffusion filtering for enhancing low quality fingerprint images
 Kenneth Heafield,Edinburgh,Normalized Log-Linear Language Model Interpolation is Efficient,Language Identification and Modeling in Specialized Hardware,
  Chris Williams,Edinburgh,Generative models of part-structured 3D objects,Overcoming Occlusion with Inverse Graphics,
 Aretha Teckentrup,Edinburgh,Quasi-Monte Carlo and Multilevel Monte Carlo Methods for Computing Posterior Expectations in Elliptic Inverse Problems,A Multilevel Stochastic Collocation Method for Partial Differential Equations with Random Input Data.,
 Kostas Zygalakis,Edinburgh,Data assimilation: a mathematical introduction,On the existence and the applications of modified equations for stochastic differential equations,
  Peter Boyle,Edinburgh,Neutral kaon mixing from 2+1 flavor domain wall QCD,Localization and chiral symmetry in three flavor domain wall QCD,
  Ruth King,Edinburgh,Capture-recapture Abundance Estimation using a Semi-complete Data Likelihood Approach,Accounting for False Mortality in Telemetry Tag Applications,
 Nick Polydorides,Edinburgh,An efficient approach for limited-data chemical species tomography and its error bounds.,Optical Absorption Tomography for Carbon Dioxide Concentration Imaging,
 Beatrice Alex,Edinburgh,Palimpsest: Improving assisted curation of loco-specific literature,Homing in on Twitter users: Evaluating an Enhanced Geoparser for User Profile Locations,
